Entrada;Resultado Prog. Dinâmica;Tempo Prog. Dinâmica;Resultado Prog. Guloso;Tempo Prog. Guloso;
5;4;0,000002;1;0,000000;
10;-1;0,000002;-4;0,000000;
15;0;0,000004;-3;0,000001;
20;-2;0,000007;-14;0,000000;
25;5;0,000010;2;0,000001;
30;3;0,000014;-6;0,000000;
35;4;0,000023;-11;0,000001;
40;-10;0,000022;-16;0,000001;
45;15;0,000031;-15;0,000001;
50;19;0,000039;-8;0,000001;
55;20;0,000043;2;0,000001;
60;9;0,000049;-33;0,000001;
65;16;0,000091;-8;0,000001;
70;11;0,000070;-19;0,000002;
75;21;0,000078;-12;0,000001;
80;28;0,000131;-35;0,000002;
85;17;0,000152;-40;0,000001;
90;36;0,000151;-33;0,000002;
95;25;0,000200;-38;0,000002;
100;29;0,000214;-34;0,000003;
105;24;0,000206;-6;0,000003;
110;49;0,000310;-20;0,000003;
115;53;0,000248;-37;0,000003;
120;48;0,000261;-15;0,000003;
125;43;0,000246;-50;0,000003;
130;53;0,000248;-13;0,000003;
135;51;0,000246;-51;0,000002;
140;58;0,000332;-23;0,000003;
145;59;0,000282;-16;0,000003;
150;48;0,000299;-18;0,000003;
155;61;0,000325;-56;0,000003;
160;53;0,000343;-58;0,000003;
165;54;0,000369;-60;0,000003;
170;52;0,000432;-50;0,000003;
175;59;0,000407;-55;0,000003;
180;51;0,000453;-63;0,000003;
185;58;0,000662;-68;0,000004;
190;77;0,000656;-22;0,000004;
195;69;0,000537;-66;0,000003;
200;67;0,000607;-56;0,000021;
205;74;0,000637;-58;0,000003;
210;87;0,000668;-69;0,000004;
215;64;0,000663;-44;0,000004;
220;89;0,000710;-52;0,000003;
225;90;0,000780;-84;0,000004;
230;52;0,000751;-62;0,000005;
235;62;0,000919;-85;0,000004;
240;93;0,000889;-72;0,000005;
245;91;0,001072;-53;0,000004;
250;110;0,000954;-34;0,000005;
255;102;0,000958;-51;0,000004;
260;103;0,000976;-98;0,000004;
265;107;0,001077;-94;0,000004;
270;81;0,001035;-78;0,000004;
275;100;0,001495;-89;0,000006;
280;122;0,001718;-76;0,000006;
285;96;0,001725;-81;0,000006;
290;109;0,001981;-86;0,000006;
295;101;0,001365;-64;0,000007;
300;99;0,001326;-51;0,000005;
305;106;0,001444;-107;0,000005;
310;167;0,001588;-46;0,000006;
315;126;0,001423;-63;0,000006;
320;121;0,001514;-98;0,000005;
325;122;0,001752;-73;0,000005;
330;129;0,001815;-33;0,000006;
335;127;0,002320;-89;0,000008;
340;140;0,002513;-112;0,000007;
345;147;0,001733;-99;0,000006;
350;118;0,001927;-80;0,000006;
355;134;0,002033;-100;0,000023;
360;150;0,002148;-129;0,000006;
365;142;0,002086;-35;0,000006;
370;152;0,002094;-103;0,000008;
375;153;0,002925;-138;0,000008;
380;133;0,002789;-104;0,000007;
385;173;0,002225;-106;0,000007;
390;150;0,002157;-123;0,000006;
395;145;0,002268;-92;0,000007;
400;149;0,002353;-94;0,000006;
405;171;0,002354;-99;0,000007;
410;178;0,002387;-98;0,000007;
415;155;0,002420;-121;0,000006;
420;189;0,002447;-159;0,000007;
425;187;0,002529;-83;0,000007;
430;161;0,002589;-169;0,000007;
435;171;0,002892;-75;0,000007;
440;166;0,003398;-92;0,000008;
445;194;0,002875;-139;0,000007;
450;183;0,002940;-120;0,000007;
455;187;0,003052;-77;0,000008;
460;179;0,003551;-115;0,000010;
465;174;0,004548;-117;0,000009;
470;196;0,003336;-92;0,000008;
475;185;0,003406;-103;0,000008;
480;207;0,003425;-141;0,000033;
485;208;0,005080;-83;0,000011;
490;203;0,004803;-115;0,000010;
495;207;0,004329;-54;0,000011;
500;196;0,004455;-206;0,000009;
505;209;0,005216;-142;0,000011;
510;213;0,004557;-144;0,000010;
515;211;0,005786;-167;0,000012;
520;185;0,003964;-142;0,000009;
525;189;0,004735;-180;0,000009;
530;223;0,005000;-179;0,000012;
535;215;0,004250;-130;0,000009;
540;207;0,004548;-99;0,000009;
545;217;0,005050;-134;0,000010;
550;218;0,004538;-151;0,000009;
555;231;0,004902;-147;0,000009;
560;223;0,004552;-125;0,000013;
565;224;0,004688;-160;0,000012;
570;258;0,006691;-144;0,000023;
575;259;0,005454;-176;0,000018;
580;260;0,006697;-127;0,000012;
585;216;0,011922;-120;0,000013;
590;241;0,006357;-134;0,000012;
595;248;0,006909;-136;0,000013;
600;261;0,008021;-141;0,000013;
605;250;0,008384;-164;0,000013;
610;251;0,008458;-124;0,000014;
615;231;0,006849;-114;0,000009;
620;268;0,005644;-134;0,000011;
625;248;0,005894;-145;0,000010;
630;243;0,006973;-207;0,000009;
635;247;0,007097;-182;0,000013;
640;236;0,008283;-130;0,000011;
645;273;0,006230;-183;0,000011;
650;259;0,008481;-185;0,000011;
655;263;0,007058;-253;0,000010;
660;276;0,006938;-156;0,000011;
665;268;0,006361;-185;0,000011;
670;290;0,007561;-145;0,000012;
675;279;0,007018;-132;0,000013;
680;268;0,007274;-152;0,000011;
685;266;0,007246;-202;0,000012;
690;288;0,006916;-219;0,000011;
695;274;0,007922;-221;0,000015;
700;254;0,008321;-139;0,000012;
705;276;0,009561;-171;0,000012;
710;286;0,009086;-203;0,000014;
715;290;0,008908;-241;0,000011;
720;273;0,007362;-252;0,000012;
725;295;0,008005;-170;0,000012;
730;320;0,010168;-217;0,000016;
735;327;0,009190;-198;0,000012;
740;295;0,010088;-152;0,000012;
745;275;0,008217;-226;0,000016;
750;306;0,009716;-129;0,000013;
755;301;0,009396;-164;0,000016;
760;305;0,008653;-205;0,000012;
765;321;0,011254;-201;0,000012;
770;301;0,009312;-203;0,000018;
775;332;0,009260;-232;0,000013;
780;324;0,010514;-186;0,000013;
785;313;0,010115;-212;0,000018;
790;341;0,010459;-256;0,000013;
795;306;0,011345;-252;0,000013;
800;313;0,011030;-179;0,000018;
805;356;0,009339;-139;0,000013;
810;333;0,011859;-153;0,000014;
815;358;0,012033;-227;0,000019;
820;326;0,010727;-172;0,000023;
825;348;0,010449;-213;0,000013;
830;340;0,011863;-236;0,000013;
835;335;0,011724;-172;0,000014;
840;351;0,010782;-222;0,000018;
845;328;0,010691;-236;0,000014;
850;371;0,010774;-181;0,000019;
855;396;0,012149;-165;0,000014;
860;340;0,010564;-206;0,000015;
865;368;0,012616;-274;0,000014;
870;339;0,012908;-204;0,000015;
875;373;0,013317;-206;0,000014;
880;350;0,012293;-160;0,000017;
885;384;0,011552;-252;0,000018;
890;361;0,012968;-230;0,000015;
895;386;0,014089;-238;0,000015;
900;375;0,013663;-228;0,000014;
905;376;0,013712;-230;0,000015;
910;398;0,013733;-253;0,000020;
915;375;0,013221;-207;0,000017;
920;382;0,013487;-245;0,000019;
925;371;0,013139;-169;0,000019;
930;357;0,013805;-276;0,000019;
935;370;0,015136;-170;0,000014;
940;341;0,014131;-199;0,000016;
945;405;0,015095;-204;0,000016;
950;388;0,014777;-257;0,000015;
955;404;0,015262;-217;0,000015;
960;387;0,015010;-246;0,000015;
965;400;0,015365;-293;0,000015;
970;416;0,015631;-274;0,000016;
975;390;0,015604;-174;0,000018;
980;400;0,015499;-185;0,000016;
985;362;0,016279;-286;0,000016;
990;399;0,016226;-285;0,000016;
995;403;0,015891;-299;0,000021;
1000;437;0,014453;-229;0,000016;
1005;414;0,016665;-222;0,000017;
1010;442;0,016383;-227;0,000016;
1015;410;0,014936;-229;0,000017;
1020;459;0,017690;-255;0,000016;
1025;439;0,014938;-209;0,000016;
1030;455;0,017604;-349;0,000017;
1035;438;0,015409;-330;0,000016;
1040;442;0,018145;-287;0,000016;
1045;440;0,017880;-223;0,000016;
1050;426;0,018123;-300;0,000021;
1055;412;0,018091;-332;0,000023;
1060;425;0,018092;-217;0,000023;
1065;450;0,019217;-306;0,000017;
1070;472;0,016444;-284;0,000016;
1075;446;0,018896;-301;0,000018;
1080;429;0,018889;-318;0,000017;
1085;421;0,019540;-212;0,000024;
1090;425;0,019559;-271;0,000017;
1095;426;0,019705;-261;0,000017;
1100;496;0,017457;-266;0,000017;
1105;494;0,019979;-280;0,000023;
1110;471;0,020645;-243;0,000026;
1115;469;0,019801;-248;0,000018;
1120;473;0,017835;-235;0,000018;
1125;471;0,020884;-336;0,000024;
1130;466;0,021429;-281;0,000017;
1135;467;0,020840;-265;0,000019;
1140;480;0,018950;-324;0,000024;
1145;457;0,022553;-296;0,000027;
1150;485;0,024662;-298;0,000026;
1155;507;0,020969;-288;0,000025;
1160;532;0,023185;-305;0,000018;
1165;491;0,021383;-331;0,000024;
1170;474;0,021160;-204;0,000025;
1175;490;0,023098;-326;0,000019;
1180;491;0,022695;-295;0,000026;
1185;525;0,022749;-210;0,000019;
